"conversation_id","created_at","favorite_count","full_text","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","id","media/0/media_url","media/0/type","media/1/media_url","media/1/type","media/2/media_url","media/2/type","media/3/media_url","media/3/type","reply_count","retweet_count","url","urls/0/display_url","urls/0/expanded_url","urls/0/url","user/advertiser_account_type","user/blocked_by","user/blocking","user/business_profile_state","user/can_dm","user/contributors_enabled","user/created_at","user/default_profile_image","user/description","user/ext_has_nft_avatar","user/ext_is_blue_verified","user/fast_followers_count","user/favourites_count","user/follow_request_sent","user/followed_by","user/followers_count","user/following","user/friends_count","user/geo_enabled","user/has_custom_timelines","user/id","user/id_str","user/is_translation_enabled","user/is_translator","user/lang","user/listed_count","user/location","user/media_count","user/muting","user/name","user/normal_followers_count","user/notifications","user/profile_background_color","user/profile_background_image_url","user/profile_background_image_url_https","user/profile_background_tile","user/profile_banner_extensions_sensitive_media_warning","user/profile_banner_url","user/profile_image_extensions_sensitive_media_warning","user/profile_image_url","user/profile_image_url_https","user/profile_sidebar_border_color","user/profile_sidebar_fill_color","user/profile_text_color","user/profile_use_background_image","user/protected","user/require_some_consent","user/screen_name","user/statuses_count","user/time_zone","user/translator_type","user/url","user/utc_offset","user/verified","user/want_retweets","user_mentions/0/id_str","user_mentions/0/name","user_mentions/0/screen_name","user_mentions/1/id_str","user_mentions/1/name","user_mentions/1/screen_name"
"1528684321254608896","2022-05-23T10:28:38.000Z","182022","Elon musk has changed Twitter like button from ❤️ to 💙 https://t.co/RJueV7OHyS",,,,,,,,"1528684321254608896","https://pbs.twimg.com/media/FTb6SabWIAYT9Ag.jpg","photo",,,,,,,"2292","1818","https://twitter.com/OleShonko/status/1528684321254608896",,,,"promotable_user",,,"none",,"false","2012-08-06T17:22:38.000Z","false","Director Myshamba Express//Father//MBA- Strategic Management.","false","false","0","10248",,,"15309",,"11290","false","true","741052232","741052232","false","false",,"24","Nairobi, Kenya","1007",,"Sonko Wa Mashamba","15309",,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","true",,,,"http://pbs.twimg.com/profile_images/1586963937496649730/rOY_SK0e_normal.jpg","https://pbs.twimg.com/profile_images/1586963937496649730/rOY_SK0e_normal.jpg","000000","000000","000000","true","false","false","OleShonko","32768",,"none","https://t.co/2cZkKNvlDx",,"false",,,,,,,
"1592060213615812608","2022-11-14T07:41:48.000Z","1029","During the #G20Indonesia Indonesian 🇮🇩 President Joko Widodo will symbolically hand over the G20 presidency to Prime Minister at the closing session of the summit in Bali.

#G20  #G20India https://t.co/HFCfSWVvXS","G20Indonesia","G20","G20India",,,,,"1592060213615812608","https://pbs.twimg.com/media/FhgiU7DVsAA_cDG.jpg","photo",,,,,,,"9","132","https://twitter.com/G20_India/status/1592060213615812608",,,,"none",,,"none",,"false","2016-07-24T16:39:41.000Z","false","Follow @G20_India for the latest news & updates about Upcoming India's 🇮🇳 Presidency of the #G20. #G20India","false","false","0","252",,,"6768",,"33","false","false","757253931672014800","757253931672014848","false","false",,"7","New Delhi","129",,"G20 India","6768",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/757253931672014848/1667906661",,"http://pbs.twimg.com/profile_images/1590641990525255680/zwWn-9jY_normal.jpg","https://pbs.twimg.com/profile_images/1590641990525255680/zwWn-9jY_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","G20_India","453",,"none","https://t.co/DyRSJYDSzQ",,"false",,,,,,,
"1592310386954731520","2022-11-15T00:15:54.000Z","324","📸 Here're group photos of #Fellas at various spots in #Bali for commemorating #G20Indonesia with special guest @VHamianin (Ukrainian Ambassador to Indonesia) who's currently in there.

#NAFOexpansion to Indonesia is non-negotiable &amp; inevitable.

#NAFO #NAFOFellas https://t.co/cE3OFmzxUZ","Fellas","Bali","G20Indonesia","NAFOexpansion","NAFO","NAFOFellas",,"1592310386954731520","https://pbs.twimg.com/media/FhkF0pKUAAA-8CA.jpg","photo",,,,,,,"34","73","https://twitter.com/AgentHotel/status/1592310386954731520",,,,"promotable_user",,,"none",,"false","2016-10-05T07:51:55.000Z","false","Currently learning Japanese for more than five years.
５年ほど日本語を勉強しています。","false","false","0","22469",,,"1456",,"1363","false","true","783575431173648400","783575431173648384","false","false",,"6","Langley, Virginia","676",,"Herbert Tandinata・陈杨・陳楊（ハーバート）🇮🇩🇯🇵🇺🇦","1456",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/783575431173648384/1513923671",,"http://pbs.twimg.com/profile_images/1587327957097656320/bhlZbZ5C_normal.jpg","https://pbs.twimg.com/profile_images/1587327957097656320/bhlZbZ5C_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","AgentHotel","1137",,"none",,,"false",,"1454346867928547336","Vasyl Hamianin","VHamianin",,,
"1592313811121602561","2022-11-15T00:29:30.000Z","1350","Hari ini Indonesia jadi perhatian Dunia

Ada seorang Presiden berlatar belakang TUKANG KAYU, lalu kini menjadi PEMIMPIN Presidensi atas AS, Rusia, Cina, India, Turki dll

Di Bali, Jokowi jadi KING MAKER. Arah ekonomi dunia ditentukan oleh forum yg dipimpin Jokowi

#G20Indonesia https://t.co/sDvku1l5UQ","G20Indonesia",,,,,,,"1592313811121602561","https://pbs.twimg.com/media/FhkI9ioVEAEcXFm.jpg","photo","https://pbs.twimg.com/media/FhkI9yaUYAAtJXx.jpg","photo","https://pbs.twimg.com/media/FhkI-ACUYAI2Ph-.jpg","photo","https://pbs.twimg.com/media/FhkI-OxVsAA0LtV.jpg","photo","248","269","https://twitter.com/Miduk17/status/1592313811121602561",,,,"promotable_user",,,"none",,"false","2019-03-04T06:52:46.000Z","false","Indonesia Maju dengan menghargai Pluralisme, Pancasila dan Keberagaman 🇮🇩 Yang Punya Usaha tag saya, kita bantu Promote","false","false","0","44240",,,"29536",,"13978","true","true","1102461866129776600","1102461866129776640","false","false",,"18","DKI Jakarta, Indonesia","3570",,"Jhon Sitorus","29536",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/1102461866129776640/1558115764",,"http://pbs.twimg.com/profile_images/1480447390985244672/8sqcturz_normal.jpg","https://pbs.twimg.com/profile_images/1480447390985244672/8sqcturz_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","Miduk17","24427",,"none",,,"false",,,,,,,
"1592323692775833601","2022-11-15T02:08:41.000Z","59","France's Emmanuel Macron met with Xi Jinping on the G-20 sidelines, calling on China to reduce ""tensions and gaps in the global environment"" and address Russia's war in Ukraine https://t.co/8H4TdT8TKg #G20Indonesia2022 #G20Indonesia 📷: Getty Images https://t.co/RjjZ0RhMNv","G20Indonesia2022","G20Indonesia",,,,,,"1592338770203844609","https://pbs.twimg.com/media/Fhkfq4dXwAAoHl2.jpg","photo",,,,,,,"7","25","https://twitter.com/bpolitics/status/1592338770203844609","trib.al/iCOkPdt","https://trib.al/iCOkPdt","https://t.co/8H4TdT8TKg","promotable_user",,,"none",,"false","2012-04-26T20:50:01.000Z","false","Bloomberg Politics is the spot for smart, non-partisan political coverage from around the world. Sign up for our daily newsletter: https://t.co/xYCyI2DtWV","false","false","0","504",,,"364829",,"987","true","true","564111558","564111558","false","false",,"5566","","96406",,"Bloomberg Politics","364829",,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false",,"https://pbs.twimg.com/profile_banners/564111558/1667235404",,"http://pbs.twimg.com/profile_images/991793484125343745/BaaVPdal_normal.jpg","https://pbs.twimg.com/profile_images/991793484125343745/BaaVPdal_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","bpolitics","232700",,"none","https://t.co/IH4P72QDIe",,"true",,,,,,,
"1592344707488944128","2022-11-15T02:32:17.000Z","324","Brown vintage dress ideas✨

— a thread

Bajunya vintage buat hari selasa the script ktt g20 bobby ikon jungkook maroon 5 nori mimpi semangaaaatttttt indiraaaaaa #TimSurya #BORNPINKJakarta #NCT런쥔 #EnchantedToMeetJAKE #SCTVAwards2022 #RaffiMenangLagi #SCTVAwards2022 https://t.co/5wQ1xBbCEI","TimSurya","BORNPINKJakarta","NCT런쥔","EnchantedToMeetJAKE","SCTVAwards2022","RaffiMenangLagi","SCTVAwards2022","1592344707488944128","https://pbs.twimg.com/media/FhklEqZVsAEIbjW.jpg","photo",,,,,,,"5","208","https://twitter.com/rereyure_/status/1592344707488944128",,,,"none",,,"none",,"false","2020-05-22T08:11:56.000Z","false","Dm for more question","false","false","0","20564",,,"779",,"673","false","false","1263744336199479300","1263744336199479296","false","false",,"0","shopee, indonesia","191",,"rere~🍒","779",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/1263744336199479296/1667195627",,"http://pbs.twimg.com/profile_images/1590009284242583553/mQykADAI_normal.jpg","https://pbs.twimg.com/profile_images/1590009284242583553/mQykADAI_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","rereyure_","20924",,"none","https://t.co/aP1q1aZpKq",,"false",,,,,,,
"1592349587570069505","2022-11-15T02:51:40.000Z","1208","🇮🇩G20 Indonesia 2022🇮🇩
#hetalia #hwsindonesia #ヘタリア #ネシアさん #G20 #G20Indonesia https://t.co/Ce6TDToxPJ","hetalia","hwsindonesia","ヘタリア","ネシアさん","G20","G20Indonesia",,"1592349587570069505","https://pbs.twimg.com/media/FhkpCxwVEAECrb_.jpg","photo",,,,,,,"28","323","https://twitter.com/DKatjang/status/1592349587570069505",,,,"none",,,"none",,"false","2016-04-17T08:14:21.000Z","false","LIL BIT NSFW.","false","false","0","121910",,,"596",,"861","false","true","721612752326754300","721612752326754304","false","false",,"10","Milkyway","1202",,"DK|| Nesia is Best Big Brother Ever!","596",,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false",,"https://pbs.twimg.com/profile_banners/721612752326754304/1665932075",,"http://pbs.twimg.com/profile_images/1587087382574026752/YymC7qRF_normal.jpg","https://pbs.twimg.com/profile_images/1587087382574026752/YymC7qRF_normal.jpg","000000","000000","000000","false","false","false","DKatjang","21274",,"none",,,"false",,,,,,,
"1592372634712670209","2022-11-15T04:23:15.000Z","1339","PM @narendramodi meet French 🇫🇷 President Emmanuel Macron during the ongoing #G20 Summit at Bali, Indonesia. 

#G20  #G20India  #G20Indonesia https://t.co/7fZMB7yvmC","G20","G20","G20India","G20Indonesia",,,,"1592372634712670209","https://pbs.twimg.com/media/Fhk-dgOUUAI75mI.jpg","photo",,,,,,,"7","84","https://twitter.com/G20_India/status/1592372634712670209",,,,"none",,,"none",,"false","2016-07-24T16:39:41.000Z","false","Follow @G20_India for the latest news & updates about Upcoming India's 🇮🇳 Presidency of the #G20. #G20India","false","false","0","252",,,"6768",,"33","false","false","757253931672014800","757253931672014848","false","false",,"7","New Delhi","129",,"G20 India","6768",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/757253931672014848/1667906661",,"http://pbs.twimg.com/profile_images/1590641990525255680/zwWn-9jY_normal.jpg","https://pbs.twimg.com/profile_images/1590641990525255680/zwWn-9jY_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","G20_India","453",,"none","https://t.co/DyRSJYDSzQ",,"false",,"18839785","Narendra Modi","narendramodi",,,
"1592376206535467010","2022-11-15T04:37:27.000Z","659","Hon'ble PM Shri @narendramodi Ji attends the #G20Indonesia Working Session on food and energy security.

He highlighted the need for a global reliability and affordable finance for food, fertilisers and energy for a smooth energy transition. https://t.co/xcz305ljWa","G20Indonesia",,,,,,,"1592376206535467010","https://pbs.twimg.com/media/FhlBtveUYAED0cA.jpg","photo","https://pbs.twimg.com/media/FhlBtvmUUAEGlX3.jpg","photo","https://pbs.twimg.com/media/FhlBtvjVEAA3EiW.jpg","photo","https://pbs.twimg.com/media/FhlBtviVEAA9MGy.jpg","photo","7","81","https://twitter.com/sambitswaraj/status/1592376206535467010",,,,"promotable_user",,,"none",,"false","2013-04-21T05:37:53.000Z","false","Surgeon by Profession,Politician by Passion...National Spokesperson of BJP","false","false","0","11493",,,"6897785",,"605","true","true","1368737382","1368737382","false","false",,"1640","Delhi","13017",,"Sambit Patra","6897785",,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false",,"https://pbs.twimg.com/profile_banners/1368737382/1662786262",,"http://pbs.twimg.com/profile_images/1566296224579260416/viwvn3MD_normal.jpg","https://pbs.twimg.com/profile_images/1566296224579260416/viwvn3MD_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","sambitswaraj","64980",,"none","https://t.co/ffQta4mlFg",,"true",,"18839785","Narendra Modi","narendramodi",,,
"1592380713307115520","2022-11-15T04:55:21.000Z","1058","Today in Bali, President Kagame attends the opening of #G20Indonesia. The Summit discusses the global health architecture, digital transformations, and sustainable energy transitions. https://t.co/XYCFjEgNa6","G20Indonesia",,,,,,,"1592380713307115520","https://pbs.twimg.com/media/FhlFy7SXoAAgQLp.jpg","photo","https://pbs.twimg.com/media/FhlFy7TXgAMva5H.jpg","photo","https://pbs.twimg.com/media/FhlFy7WXwAUCReh.jpg","photo","https://pbs.twimg.com/media/FhlFy7NXwAAaREG.jpg","photo","243","324","https://twitter.com/UrugwiroVillage/status/1592380713307115520",,,,"promotable_user",,,"none",,"false","2011-01-04T14:15:24.000Z","false","Official Twitter account of the Office of the President of Rwanda. Your unique opportunity to follow the work of President Paul Kagame on a daily basis.","false","false","0","194",,,"814237",,"312","true","true","233953901","233953901","false","false",,"701","Kigali, Rwanda","2881",,"Presidency | Rwanda","814237",,"C3EAEB","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false",,"https://pbs.twimg.com/profile_banners/233953901/1653490380",,"http://pbs.twimg.com/profile_images/1140932287225376768/9hCIj_sE_normal.jpg","https://pbs.twimg.com/profile_images/1140932287225376768/9hCIj_sE_normal.jpg","EBE0C1","DCF5F4","333333","true","false","false","UrugwiroVillage","24709",,"none","https://t.co/9YAY2XkwWl",,"true",,,,,,,
