"conversation_id","created_at","favorite_count","full_text","hashtags/0","hashtags/1","hashtags/2","id","media/0/media_url","media/0/type","media/1/media_url","media/1/type","media/2/media_url","media/2/type","media/3/media_url","media/3/type","reply_count","retweet_count","url","urls/0/display_url","urls/0/expanded_url","urls/0/url","user_mentions/0/id_str","user_mentions/0/name","user_mentions/0/screen_name"
"1588213987224694784","2022-11-03T16:58:16.000Z","340","#GodofWarRagnarok #GOTY #TheGameAwards https://t.co/crhzPaCMyR","GodofWarRagnarok","GOTY","TheGameAwards","1588213987224694784","https://pbs.twimg.com/media/Fgp4NF0UoAA-_7J.jpg","photo",,,,,,,"14","50","https://twitter.com/Gilbertbelieve2/status/1588213987224694784",,,,,,
"1590832978271272961","2022-11-10T22:25:12.000Z","1151","elden ring and god of war: ragnarok at the game awards https://t.co/1RjXVUiZeo",,,,"1590832978271272961","https://pbs.twimg.com/ext_tw_video_thumb/1523574459281870848/pu/img/eVgmyVEeep5ebJ2B.jpg","photo",,,,,,,"11","146","https://twitter.com/agayhomosexual2/status/1590832978271272961",,,,,,
"1591015158016446464","2022-11-11T10:29:07.000Z","479503","He's done it! Ash has become a World Champion! 🏆🎉 https://t.co/a2jPb8pym3",,,,"1591015158016446464","https://pbs.twimg.com/amplify_video_thumb/1591015102291083271/img/hjjkYffow3S89xZn.jpg","photo",,,,,,,"7369","117104","https://twitter.com/Pokemon/status/1591015158016446464",,,,,,
"1591847991958462464","2022-11-13T17:38:31.000Z","10579","21 years ago today METAL GEAR SOLID 2 was released by @Kojima_Hideo https://t.co/otAI3Bilq4",,,,"1591847991958462464","https://pbs.twimg.com/media/FhdhT0HUYAABPzx.jpg","photo","https://pbs.twimg.com/media/FhdhT0FUcAAXwHK.jpg","photo",,,,,"151","1747","https://twitter.com/thegameawards/status/1591847991958462464",,,,"116942168","小島秀夫","Kojima_Hideo"
"1592201418173448192","2022-11-14T17:02:54.000Z","7859","SPLATOON 3 IS NOMINATED FOR BEST MULTIPLIER GAME 2022!!! GAS GAS GAS AND VOTE ON https://t.co/IAcbtY3Yy5!!! #TheGameAwards #Splatoon3 https://t.co/xnFNTKR71j","TheGameAwards","Splatoon3",,"1592201418173448192","https://pbs.twimg.com/media/FhiiwFoXoAEkWrW.jpg","photo",,,,,,,"66","1254","https://twitter.com/Kobayashi_Dess/status/1592201418173448192","thegameawards.com","http://thegameawards.com","https://t.co/IAcbtY3Yy5",,,
"1592202449271627777","2022-11-14T17:07:00.000Z","5378","Our new Best Adaptation Award at #TheGameAwards features these five nominees:
🔸 Arcane: League of Legends
🔸 Cyberpunk: Edgerunners
🔸 The Cuphead Show!

🔸 Sonic the Hedgehog 2

🔸 Uncharted

🗳️ Vote Now: https://t.co/ExP93r9hmS

👀 Winners revealed live, Thursday, December 8 https://t.co/yyIZmPnbLK","TheGameAwards",,,"1592202449271627777","https://pbs.twimg.com/media/FhiXHjqVIAAlnNC.jpg","photo",,,,,,,"470","869","https://twitter.com/thegameawards/status/1592202449271627777","bit.ly/tgavote","http://bit.ly/tgavote","https://t.co/ExP93r9hmS",,,
"1592203204359467008","2022-11-14T17:10:00.000Z","25415","Here they are.

Your six nominees for GAME OF THE YEAR at #TheGameAwards:

🔸 A Plague Tale: Requiem
🔸 Elden Ring
🔸 God of War Ragnarok
🔸 Horizon Forbidden West

🔸 Stray
🔸 Xenoblade Chronicles 3

🗳️ Vote Now: https://t.co/P4m9cgifpD https://t.co/jg1wvsKnjc","TheGameAwards",,,"1592203204359467008","https://pbs.twimg.com/media/FhibuTpVsAAVZvX.jpg","photo",,,,,,,"2179","3294","https://twitter.com/geoffkeighley/status/1592203204359467008","bit.ly/tgavote","http://bit.ly/tgavote","https://t.co/P4m9cgifpD",,,
"1592203513052147713","2022-11-14T17:11:13.000Z","554","They called me a madman 6 for 6 🤷‍♂️

I don’t miss #TheGameAwards https://t.co/CS1FMEhc5r","TheGameAwards",,,"1592203513052147713","https://pbs.twimg.com/media/FhikpfwXEAAvJ6t.jpg","photo",,,,,,,"21","21","https://twitter.com/DomTheBombYT/status/1592203513052147713",,,,,,
"1592204394476761089","2022-11-14T17:14:44.000Z","4057","Getting ready for #TheGameAwards !!!

congratulations #XenobladeChronicles3 team for the nominations❤️❤️❤️ https://t.co/Ccktex5lK3","TheGameAwards","XenobladeChronicles3",,"1592204394476761089","https://pbs.twimg.com/media/FhildO7WYAgQxy8.jpg","photo",,,,,,,"31","1283","https://twitter.com/daeltan_181/status/1592204394476761089",,,,,,
"1592204462961135620","2022-11-14T17:15:00.000Z","8823","Here are the most nominated games at #TheGameAwards this year. https://t.co/th2FBi14vz","TheGameAwards",,,"1592204462961135620","https://pbs.twimg.com/media/Fhid5zSUAAAi46s.jpg","photo",,,,,,,"420","1208","https://twitter.com/thegameawards/status/1592204462961135620",,,,,,
"1592206270811062273","2022-11-14T17:22:11.000Z","3739","#GodofWarRagnarok is the most nominated game at #TheGameAwards with 10 nominations 

GOTY 🗣️🗣️ https://t.co/5RJBLyxvms","GodofWarRagnarok","TheGameAwards",,"1592206270811062273","https://pbs.twimg.com/media/FhinKZEX0AMQKdr.jpg","photo",,,,,,,"77","331","https://twitter.com/DomTheBombYT/status/1592206270811062273",,,,,,
"1592206422066200577","2022-11-14T17:22:47.000Z","197","Dia 8 de dezembro um deles será eleito GOTY no #TheGameAwards https://t.co/jLnaLElKZH","TheGameAwards",,,"1592206422066200577","https://pbs.twimg.com/media/FhinTYHWIAMw1m8.jpg","photo",,,,,,,"22","9","https://twitter.com/Grey1300/status/1592206422066200577",,,,,,
"1592207957927731200","2022-11-14T17:28:53.000Z","12599","Life comes at you fast #TheGameAwards https://t.co/b1vnrNP23h","TheGameAwards",,,"1592207957927731200","https://pbs.twimg.com/media/FhiorYcVIAAlKru.jpg","photo",,,,,,,"340","916","https://twitter.com/geoffkeighley/status/1592207957927731200",,,,,,
"1592210840845180928","2022-11-14T17:40:20.000Z","3727","Best Performance nominees

➡️Ashly Burch - Aloy
➡️Charlotte McBurney - Amicia
➡️Christopher Judge - Kratos
➡️Manon Gage - Marissa Marcel
➡️Sunny Suljic - Atreus

#TheGameAwards https://t.co/Ccpge3GTqy","TheGameAwards",,,"1592210840845180928","https://pbs.twimg.com/media/FhirSkXWAAMKykp.jpg","photo","https://pbs.twimg.com/media/FhirSkZXwAAjFrD.jpg","photo","https://pbs.twimg.com/media/FhirSkcXoAEjBnd.jpg","photo","https://pbs.twimg.com/media/FhirSkYWIAAk5Z-.jpg","photo","212","272","https://twitter.com/DomTheBombYT/status/1592210840845180928",,,,,,
"1592216700963164161","2022-11-14T18:03:38.000Z","1874","XENOBLADE SWEEP #TheGameAwards  #XenobladeChronicles3 https://t.co/pCjUn8iaaH","TheGameAwards","XenobladeChronicles3",,"1592216700963164161","https://pbs.twimg.com/media/FhiwlJBUcAAq0-D.jpg","photo",,,,,,,"17","579","https://twitter.com/Jayyceon/status/1592216700963164161",,,,,,
"1592219273862447105","2022-11-14T18:13:51.000Z","679","Here are your nominees for ""FUNNIEST OPERATOR NAME 2022"" ft. the returning champion #TheGameAwards https://t.co/FtJqnSWXZf","TheGameAwards",,,"1592219273862447105","https://pbs.twimg.com/media/Fhiy_BnUYAAouyr.jpg","photo","https://pbs.twimg.com/media/Fhiy_KcUcAAsJWA.jpg","photo","https://pbs.twimg.com/media/Fhiy_TFUYAAerRs.jpg","photo","https://pbs.twimg.com/media/Fhiy_eyUAAUGdNs.jpg","photo","5","64","https://twitter.com/pierosharin/status/1592219273862447105",,,,,,
